Sector,Gas,Activity,Additional aggregation,Category,Year,Emissions
Waste,CO,Energy,Waste Processing,MRF (energy),1990,18.5666
Waste,CO,Energy,Waste Processing,RDF Processing (energy),1990,11.4901
Waste,CO,Energy,Waste Processing,Incinerator Ash Disposal (energy),1990,0.0271
Waste,CO,Waste,,LFG Flaring,1990,0
Waste,CO,Waste,,Rural Open Burning,1990,20155
Waste,CO,Waste,,Medical Waste Incineration,1990,0
Waste,CO,Waste,,Soil Roasting,1990,0
Waste,CO,Waste,,Hazardous Waste,1990,1.42
Waste,Biogenic CO2,Biomass,,RDF,1990,27024.3038
Waste,Biogenic CO2,Biomass,,MMSW-mass burn,1990,19453.398
Waste,Biogenic CO2,Biomass,,Wood,1990,4886.6969
Waste,Biogenic CO2,Biomass,,Dried municipal sludge,1990,143576.2692
Waste,Biogenic CO2,Biomass,,Biodiesel,1990,0
Waste,Biogenic CO2,Biomass,,LFG (energy production),1990,12.2364
Waste,Biogenic CO2,Biomass,,Rural open burning,1990,61543.4772
Waste,Biogenic CO2,Biomass,,Commercial/industrial incineration,1990,99143.5035
Waste,Biogenic CO2,Biomass,,Medical waste incineration,1990,2082.6238
Waste,Biogenic CO2,Biomass,,MMSW landfills,1990,564125.2825
Waste,Biogenic CO2,Biomass,,Industrial landfills,1990,9527.097
Waste,Biogenic CO2,Biomass,,LFG flaring,1990,0
Waste,Biogenic CO2,Biomass,,WWTP gas flaring,1990,7912.459
Waste,Biogenic CO2,Biomass,,WWTP ,1990,28087.6591
Residential,N2O,Energy,,Coal,1990,0.1157
Residential,N2O,Energy,,Oil,1990,13.7972
Waste,CO2,Waste,,Sequestration in demolition/construction/landfills,2009,-804132.96
Residential,N2O,Energy,,Other,1990,72.9434
Residential,N2O,other,,Lawn Fertilizer,1990,59.9767
Residential,CH4,Energy,,Coal,1990,23.1434
Residential,CH4,Energy,,Oil,1990,269.0939
Residential,CO2,Energy,,Natural gas,2000,7681296.671
Residential,CH4,Energy,,Other,1990,5470.7523
Residential,CO2,Energy,,Coal,1990,6822.7648
Residential,CO2,Energy,,Oil,1990,2314113.458
Waste,CO2,Waste,,Sequestration in demolition/construction/landfills,2010,-686218.47
Residential,CO2,other,,"Soaps, detergents, shampoos",1990,69830.4434
Residential,CO2,other,,Food additives,1990,11638.4072
Residential,CO2,other,,Sequestration in housing units,1990,-999076.6343
Residential,CO,Energy,,Coal,1990,0.9319
Residential,CO,Energy,,Oil,1990,403.8605
Residential,CO2,Energy,,Natural gas,1997,7652097.732
Residential,CO,Energy,,Other,1990,83765
Residential,Ethane,Energy,,Other,1990,343
Residential,HFC-134a,Energy,,Refrigeration,1990,0
Residential,HFC-134a,Energy,,Air conditioning,1990,0
Residential,HFC-32,Energy,,Air conditioning,1990,0
Residential,HFC-125,Energy,,Air conditioning,1990,0
Residential,Biomass CO2,Biomass,,Solid biomass,1990,2227867.39
Industrial,N2O,Energy,Stationary source,Coal,1990,28.0805
Industrial,N2O,Energy,Stationary source,Oil,1990,25.5237
Residential,CO2,Energy,,Natural gas,1995,7606788.505
Industrial,N2O,Energy,Stationary source,Other,1990,55.5681
Industrial,N2O,Energy,Off-highway vehicle,Oil,1990,13.7865
Industrial,N2O,Energy,Off-highway vehicle,Other,1990,0.0152
Industrial,CH4,Energy,Stationary source,Coal,1990,187.2035
Industrial,CH4,Energy,Stationary source,Oil,1990,161.4393
Residential,CO2,Energy,,Natural gas,2005,7593124.731
Industrial,CH4,Energy,Stationary source,Other,1990,345.4501
Industrial,CH4,Energy,Off-highway vehicle,Oil,1990,31.0197
Industrial,CH4,Energy,Off-highway vehicle,Other,1990,0.0342
Industrial,CH4,Energy,,Coal storage,1990,205.521
Industrial,CH4,Energy,,Oil Refining,1990,1734.1394
Industrial,CH4,other,,Peat mining,1990,700.6976
Industrial,CH4,other,,Industrial wastewater treatment,1990,5305.9601
Industrial,CO2,Energy,,Coal,1990,1778424.1
Industrial,CO2,Energy,,Oil,1990,5453565.71
Residential,CO2,Energy,,Natural gas,2001,7367588.528
Industrial,CO2,other,,Taconite induration ,1990,1347330.271
Industrial,CO2,other,,Steel production,1990,2410.6863
Industrial,CO2,other,,Ammonia Manufacture,1990,32400
Industrial,CO2,other,,Glass manufacture,1990,11446.9281
Industrial,CO2,other,,Secondary lead production,1990,0
Industrial,CO2,other,,Paraffinic wax consumption,1990,0
Industrial,CO2,other,,Peat Mining/Use,1990,64790.3045
Industrial,CO2,other,,Industrial solvent release,1990,29921.1894
Industrial,CO2,other,,Other industrial VOC and TRI releases,1990,367436.5163
Industrial,CO,Energy,,Coal,1990,1235
Industrial,CO,Energy,,Oil,1990,33092
Residential,CO2,Energy,,Natural gas,1993,7273484.696
Industrial,CO,Energy,,Other,1990,129477
Industrial,CO,Energy,,Oil Refining,1990,59531.8
Industrial,CO,other,,Other industrial process,1990,7302.46
Industrial,CO as CO2,Energy,,Oil Refining,1990,93589.3475
Industrial,CO as CO2,other,,Other industrial process,1990,11480.1243
Industrial,HFCs,other,,Insulating foam manufacture,1990,0
Industrial,SF6,other,,Magnesium casting,1990,6.509
Industrial,Biomass CO2,Biomass,,Solid biomass,1990,1846742.138
Industrial,Biomass CO2,Biomass,,Liquid biofuels,1990,580.6375
Industrial,Biomass CO2,Biomass,,Biogas,1990,1101.2299
Transportation,N2O,Energy,,Passenger Cars,1990,1580.2941
Transportation,N2O,Energy,,Light-Duty Trucks,1990,924.2283
Transportation,N2O,Energy,,Heavy-Duty Trucks,1990,42.6922
Transportation,N2O,Energy,,School Bus,1990,1.9403
Transportation,N2O,Energy,,Transit Bus,1990,0.2118
Transportation,N2O,Energy,,Motorcycle,1990,2.2055
Transportation,N2O,Energy,,RV,1990,13.3813
Transportation,N2O,Energy,,Federal Bus,1990,0.0024
Transportation,N2O,Energy,,Railroad,1990,17.7991
Transportation,N2O,Energy,,Marine,1990,18.2802
Transportation,N2O,Energy,,Military and Other Off-highway,1990,0
Transportation,N2O,Energy,,Aviation,1990,118.9662
Residential,CO2,other,,Sequestration in housing units,2010,-473837.3526
Transportation,CH4,Energy,,Passenger Cars,1990,2427.1288
Transportation,CH4,Energy,,Light-Duty Trucks,1990,1427.4752
Transportation,CH4,Energy,,Heavy-Duty Trucks,1990,224.1914
Transportation,CH4,Energy,,School Bus,1990,5.4501
Transportation,CH4,Energy,,Transit Bus,1990,0.225
Transportation,CH4,Energy,,Motorcycle,1990,22.2101
Transportation,CH4,Energy,,RV,1990,7.9109
Transportation,CH4,Energy,,Federal Bus,1990,0.0014
Transportation,CH4,Energy,,Railroad,1990,55.6221
Transportation,CH4,Energy,,Marine,1990,47.7711
Transportation,CH4,Energy,,Aviation,1990,169.338
Residential,CO2,Energy,,Natural gas,1994,7211678.826
Transportation,CO2,Energy,,Passenger Cars,1990,11481263.67
Transportation,CO2,Energy,,Light-Duty Trucks,1990,6285155.444
Transportation,CO2,Energy,,Heavy-Duty Trucks,1990,4957356.708
Transportation,CO2,Energy,,School Bus,1990,175908.3291
Transportation,CO2,Energy,,Transit Bus,1990,109425.9079
Transportation,CO2,Energy,,Motorcycle,1990,49405.3235
Transportation,CO2,Energy,,RV,1990,374421.1003
Transportation,CO2,Energy,,Federal Bus,1990,33.59
Transportation,CO2,Energy,,Railroad,1990,712686.0018
Transportation,CO2,Energy,,Marine,1990,691741.6791
Transportation,CO2,Energy,,Military and Other Off-highway,1990,13942.9969
Transportation,CO2,Energy,,Aviation,1990,3785770.117
Residential,CO2,Energy,,Natural gas,1999,7066143.146
Transportation,CO,Energy,,Passenger Cars,1990,1485479.45
Transportation,CO,Energy,,Light-Duty Trucks,1990,699031.9568
Transportation,CO,Energy,,Heavy-Duty Trucks,1990,201407.3392
Transportation,CO,Energy,,Railroad,1990,2020
Transportation,CO,Energy,,Marine,1990,3741
Transportation,CO,Energy,,Military and Other Off-highway,1990,482127
Transportation,CO,Energy,,Aviation,1990,4048
Residential,CO2,other,,Sequestration in housing units,2007,-473107.4263
Residential,CO2,Energy,,Natural gas,1991,6910937.048
Residential,CO2,other,,Sequestration in housing units,2008,-436449.7234
Residential,CO2,Energy,,Natural gas,1992,6692807.722
Transportation,HFC-134a,Energy,,MAC,1990,0
Transportation,Biomass CO2,Biomass,,Passenger Cars,1990,78628.1885
Transportation,Biomass CO2,Biomass,,Light-Duty Trucks,1990,42513.7138
Transportation,Biomass CO2,Biomass,,Heavy-Duty Trucks,1990,4397.4295
Transportation,Biomass CO2,Biomass,,School Bus,1990,112.913
Transportation,Biomass CO2,Biomass,,Transit Bus,1990,0
Transportation,Biomass CO2,Biomass,,Motorcycle,1990,333.6974
Transportation,Biomass CO2,Biomass,,RV,1990,2223.5625
Transportation,Biomass CO2,Biomass,,Federal Bus,1990,0.2277
Transportation,Biomass CO2,Biomass,,Marine,1990,4551.9844
Transportation,Biomass CO2,Biomass,,Military and Other Off-highway,1990,0
Transportation,Biomass CO2,Biomass,,Other,1990,6840.3865
Agriculture,N2O,Energy,,Oil,1991,57.3698
Agriculture,N2O,Energy,,Other,1991,0.1686
Agriculture,N2O,Agriculture,,Agricultural Burning,1991,94.9423
Agriculture,N2O,Agriculture,,Crop Residues ,1991,5433.7389
Agriculture,N2O,Agriculture,,Cultivated Histosols,1991,1011.0492
Agriculture,N2O,Agriculture,,Deposition ,1991,1733.697
Agriculture,N2O,Agriculture,,Feedlot ,1991,3470.0985
Agriculture,N2O,Agriculture,,Fertilizer ,1991,7841.7967
Agriculture,N2O,Agriculture,,Legumes ,1991,5479.2903
Agriculture,N2O,Agriculture,,Prescribed Burn ,1991,0
Agriculture,N2O,Agriculture,,Manure Soil Applications ,1991,2034.9027
Agriculture,N2O,Agriculture,,Runoff ,1991,3444.8486
Agriculture,N2O,Agriculture,,Wildfire ,1991,101.3932
Agriculture,CH4,Energy,,Oil,1991,358.2642
Agriculture,CH4,Energy,,Other,1991,0.9482
Agriculture,CH4,Agriculture,,Agricultural Burning,1991,2467.3102
Agriculture,CH4,Agriculture,,Manure ,1991,58282.7936
Agriculture,CH4,Agriculture,,Prescribed Burn ,1991,0
Agriculture,CH4,Agriculture,,Ruminants ,1991,239972.3151
Agriculture,CH4,Agriculture,,Wild Rice ,1991,5498.0566
Agriculture,CH4,Agriculture,,Wildfire ,1991,1882.5689
Agriculture,CO2,Energy,,Oil,1991,2777643.276
Agriculture,CO2,Agriculture,,Erosion ,1991,112832.5839
