Row number,Sector,Gas,Activity,Additional aggregation,Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
45,Commercial,CO2,other,,Solvent uses,87575.11386,90332.99739,93090.88091,95848.76443,98606.64796,101364.5315,104122.415,104807.7819,105367.977,83938.97576,84129.81145,86001.23242,73232.69612,73232.69612,73232.69612,73232.69612,82830.99513,92429.29415,102027.5932,102027.5932,102027.5932
46,Commercial,CO,Energy,,Coal,223,217.16667,211.33333,205.5,199.66667,193.83333,188,194,205,635,138,140,379.63972,379.63972,379.63972,379.63972,269.50981,159.37991,49.25,49.25,49.25
47,Commercial,CO,Energy,,Oil,103.02,249.55,396.08,542.61,689.14,835.67,982.2,964.8,725.2,134.6,137.2,141.1,934.61625,934.61625,934.61625,934.61625,712.3375,490.05875,267.78,267.78,267.78
48,Commercial,CO,Energy,,Natural gas,828.7,863.58333,898.46667,933.35,968.23333,1003.11667,1038,1054,1015,2423,2469,2533,5246.09835,5246.09835,5246.09835,5246.09835,4803.0689,4360.03945,3917.01,3917.01,3917.01
49,Commercial,CO,Energy,,Other,29,45.66667,62.33333,79,95.66667,112.33333,129,134,142,300,320,340,591.21048,591.21048,591.21048,591.21048,694.16365,797.11683,900.07,900.07,900.07
50,Commercial,Biomass CO2,Biomass,,Solid biomass,141349.4467,145834.3807,153791.0499,160611.0521,153791.0499,155268.7171,161383.2615,153391.266,134062.3405,141048.1605,150749.6948,159701.7185,163566.3864,170272.7219,166408.054,194483.7298,180502.7252,191642.0622,202213.0656,201076.3986,198575.7311
51,Commercial,Biomass CO2,Biomass,,Liquid biofuels,818.76701,970.90841,1227.44011,1662.94128,1818.07429,2144.66745,2004.65438,2958.7037,3344.20903,1535.49557,1582.20983,4907.32867,5270.05856,6648.06899,7054.67678,7466.50135,8776.54723,1836.44164,5053.87632,12514.03063,10832.57302
52,Electricity Generation,N2O,Energy,,Coal,275.86667,268.3821,263.33633,291.69767,288.62494,293.74437,300.45059,300.41532,300.34624,295.03916,314.49481,314.80461,344.33955,341.92466,319.54331,328.20673,305.22016,292.07657,316.22504,283.9397,276.68915
53,Electricity Generation,N2O,Energy,,Oil,68.74014,90.4933,100.71525,105.32256,100.58407,79.31473,98.58475,117.92477,98.84777,119.41866,116.99876,90.85171,96.71903,123.11058,114.23145,104.87178,71.74644,35.66291,27.17537,1.54844,0.87039
54,Electricity Generation,N2O,Energy,,Natural gas,9.08951,10.32426,9.36273,6.90566,11.59293,17.11306,12.4595,20.73932,38.65242,50.60371,33.32612,28.28892,40.2552,40.80949,35.1646,57.19737,59.17289,85.30839,54.41493,52.44263,63.96175
55,Electricity Generation,N2O,Energy,,Other,151.11751,167.79153,174.01619,188.21532,189.26964,186.6001,188.23458,193.81041,191.21466,187.0989,186.76843,182.64587,209.23425,212.56939,219.61906,225.60998,214.53408,235.69616,244.13415,248.83695,246.15067
56,Electricity Generation,N2O,Energy,,Energy-Net Electricity Imports,123.97455,163.25902,159.53531,136.65808,166.76337,188.84963,219.84877,244.36721,220.16799,243.55106,224.75609,255.70952,214.01711,210.71383,242.04441,228.90903,232.18058,236.03113,241.03128,217.56337,232.86602
